Names,Psychometrics Score,Presentation Score,Date,Location
RAQUELA ELCOX,63.0,68.75,2019-01-16,London Academy
YOLANDA FOSSE,61.0,62.5,2019-01-16,London Academy
CORRI PUND,58.0,81.25,2019-01-16,London Academy
STEPHAN BAHLS,59.0,75.0,2019-01-16,London Academy
FELECIA MCBLAIN,47.0,75.0,2019-01-16,London Academy
CONCHITA GUMEY,57.0,56.25,2019-01-16,London Academy
PIERSON MILLS,47.0,62.5,2019-01-16,London Academy
INGEBERG OTHEN,59.0,62.5,2019-01-16,London Academy
GARVIN DRACEY,54.0,71.88,2019-01-16,London Academy
GARROTT DEMAINE,58.0,59.38,2019-01-16,London Academy
WILONA PAMMENTER,63.0,46.88,2019-01-16,London Academy
LYNNETT SWIN,58.0,71.88,2019-01-16,London Academy
GUSTAF LUDE,51.0,62.5,2019-01-16,London Academy
MONAH DOWLING,49.0,75.0,2019-01-16,London Academy
RANDALL WALLER,53.0,59.38,2019-01-16,London Academy
THOMASINE POUNDFORD,65.0,68.75,2019-01-16,London Academy
ANATOLE PETERFFY,62.0,53.12,2019-01-16,London Academy
SIMON MURREY,50.0,59.38,2019-01-16,London Academy
ZACCARIA BUSSONS,61.0,62.5,2019-01-16,London Academy
STACI HARLETT,56.0,34.38,2019-01-16,London Academy
TRSTRAM GOODYER,61.0,62.5,2019-01-16,London Academy
THEODOSIA CREENAN,52.0,68.75,2019-01-16,London Academy
MELBA COBAIN,44.0,68.75,2019-01-16,London Academy
RICCA SOWDEN,55.0,65.62,2019-01-16,London Academy
DRONA LEMONBY,51.0,68.75,2019-01-16,London Academy
DONALT GUMMOE,66.0,59.38,2019-07-16,London Academy
FARLEE BAALHAM,66.0,62.5,2019-07-16,London Academy
ZSA ZSA ROUNSEFULL,61.0,62.5,2019-07-16,London Academy
VERENA TOWNES,59.0,68.75,2019-07-16,London Academy
LUDVIG GRZES,53.0,59.38,2019-07-16,London Academy
KAROLY SKATES,51.0,62.5,2019-07-16,London Academy
KELLYANN YORKSTON,54.0,65.62,2019-07-16,London Academy
OLLY MOUGENEL,52.0,56.25,2019-07-16,London Academy
ALAN HALLEWELL,68.0,40.62,2019-07-16,London Academy
BOWIE ENDERSBY,51.0,71.88,2019-07-16,London Academy
ERINA STOCKAU,46.0,65.62,2019-07-16,London Academy
FONS GHIOTTO,58.0,59.38,2019-07-16,London Academy
MARKOS WALTER,51.0,75.0,2019-07-16,London Academy
MIRILLA BOTTINELLI,51.0,56.25,2019-07-16,London Academy
RODOLFO GARRET,60.0,65.62,2019-07-16,London Academy
ALLI LUDEWIG,64.0,68.75,2019-07-16,London Academy
ELNORE SCHWANDNER,51.0,65.62,2019-07-16,London Academy
GRADEIGH HAMBLIN,60.0,53.12,2019-07-16,London Academy
BREWER CALDERBANK,50.0,62.5,2019-07-16,London Academy
NETTLE HEFFER,43.0,65.62,2019-07-16,London Academy
ULRIKAUMEKO BOWSHER,52.0,53.12,2019-07-16,London Academy
VINA FLOTT,57.0,56.25,2019-07-16,London Academy
ALEXIS SHEE,47.0,62.5,2019-07-16,London Academy
PORTIA FARFALAMEEV,59.0,56.25,2019-07-16,London Academy
MARTELLE VENEUR,43.0,43.75,2019-07-16,London Academy
BOBBY MCCRACKEN,46.0,75.0,2019-05-16,Birmingham Academy
ANDREI MUSSLEWHITE,51.0,71.88,2019-05-16,Birmingham Academy
VILHELMINA KISSELL,63.0,65.62,2019-05-16,Birmingham Academy
STANDFORD BREWITT,56.0,68.75,2019-05-16,Birmingham Academy
ALFI MCCRACKEN,63.0,56.25,2019-05-16,Birmingham Academy
MERCEDES CADDEN,48.0,62.5,2019-05-16,Birmingham Academy
LINUS PIETRUSZEWICZ,58.0,65.62,2019-05-16,Birmingham Academy
CORENA BIRTLEY,46.0,78.12,2019-05-16,Birmingham Academy
PHILIPPA MCCALISTER,51.0,50.0,2019-05-16,Birmingham Academy
SEBASTIANO RAMSBY,43.0,50.0,2019-05-16,Birmingham Academy
PATIN STOREK,51.0,75.0,2019-05-16,Birmingham Academy
ALIDIA GOVETT,56.0,59.38,2019-05-16,Birmingham Academy
JUIETA TELLETT,63.0,81.25,2019-05-16,Birmingham Academy
FONZ GRZEGORZEWICZ,48.0,50.0,2019-05-16,Birmingham Academy
HEINDRICK MCKIDDIN,58.0,78.12,2019-05-16,Birmingham Academy
BENEDIKT SCOGINGS,59.0,78.12,2019-05-16,Birmingham Academy
DAVIDSON BISKUPIAK,40.0,65.62,2019-05-16,Birmingham Academy
ABEY LIGHTOLLERS,62.0,59.38,2019-05-16,Birmingham Academy
GERIANNE BAGGE,58.0,50.0,2019-05-16,Birmingham Academy
CLAY PERILLO,68.0,56.25,2019-10-16,London Academy
MARGARETTA GEDLING,55.0,78.12,2019-10-16,London Academy
ARLIE BAYNAM,43.0,68.75,2019-10-16,London Academy
DEANA LYNDS,61.0,78.12,2019-10-16,London Academy
CHUCHO KEGAN,51.0,59.38,2019-10-16,London Academy
OLLY AITKENHEAD,45.0,53.12,2019-10-16,London Academy
ADEY BRAMWELL,52.0,37.5,2019-10-16,London Academy
JORDAIN OFFEN,62.0,65.62,2019-10-16,London Academy
ENGLEBERT HEDMAN,62.0,62.5,2019-10-16,London Academy
ELVERA GORMAN,54.0,62.5,2019-10-16,London Academy
ALAND HOUCHIN,44.0,53.12,2019-10-16,London Academy
JESUS KELLER,54.0,37.5,2019-10-16,London Academy
ENGELBERT PALATINO,64.0,75.0,2019-10-16,London Academy
ZONDRA LINDGREN,48.0,59.38,2019-10-16,London Academy
CAREN PUIG,54.0,75.0,2019-10-16,London Academy
MARMADUKE KIEFER,64.0,65.62,2019-10-16,London Academy
GABI FICE,55.0,68.75,2019-10-16,London Academy
TIFFI REDDLESDEN,50.0,65.62,2019-10-16,London Academy
MIRABELLE TIDDER,66.0,59.38,2019-10-16,London Academy
EVELYN LUKASH,47.0,53.12,2019-10-16,London Academy
ELITA FOCH,51.0,81.25,2019-10-16,London Academy
RIVI EPINAY,53.0,59.38,2019-04-17,London Academy
ASH HANNON,59.0,59.38,2019-04-17,London Academy
MARIE-ANN VAAR,52.0,65.62,2019-04-17,London Academy
ALLI SLEEFORD,55.0,62.5,2019-04-17,London Academy
MAURE TINK,47.0,53.12,2019-04-17,London Academy
ERASTUS WENGER,43.0,56.25,2019-04-17,London Academy
BROOKS GETHOUSE,55.0,59.38,2019-04-17,London Academy
ILKA MOODIE,51.0,78.12,2019-04-17,London Academy
MYLO LEBAND,44.0,50.0,2019-04-17,London Academy
GIANINA BESSENT,56.0,78.12,2019-04-17,London Academy
BRENDON FERRIERI,73.0,62.5,2019-04-17,London Academy
ASHLI MULLANEY,49.0,59.38,2019-04-17,London Academy
ELLEREY SHENTON,46.0,71.88,2019-04-17,London Academy
GUINNA GARFORD,50.0,53.12,2019-04-17,London Academy
SUZY BLAISDELL,59.0,75.0,2019-04-17,London Academy
GRADEY CONNOR,54.0,68.75,2019-04-17,London Academy
CARLYN DURRAM,55.0,43.75,2019-04-17,London Academy
BIDDY RAPPS,53.0,59.38,2019-04-17,London Academy
THEA LABBEY,40.0,68.75,2019-04-17,London Academy
ANNEMARIE DULINTY,48.0,81.25,2019-04-17,London Academy
BETH TINER,64.0,71.88,2019-04-17,London Academy
KAYLE FERENC,52.0,62.5,2019-04-17,London Academy
CHARMIAN MARTINUZZI,58.0,68.75,2019-12-17,London Academy
EBA TARBATH,51.0,65.62,2019-12-17,London Academy
NOBE GUERRAZZI,54.0,59.38,2019-12-17,London Academy
GERDA YUILLE,59.0,62.5,2019-12-17,London Academy
BERKLY FISHLEIGH,51.0,75.0,2019-12-17,London Academy
SHERWOOD SANDERCOCK,57.0,62.5,2019-12-17,London Academy
BLONDELLE JAAN,63.0,46.88,2019-12-17,London Academy
HERMIE LASSELL,49.0,75.0,2019-12-17,London Academy
LAWTON HIDDSLEY,58.0,53.12,2019-12-17,London Academy
GIUSEPPE COBBIN,50.0,43.75,2019-12-17,London Academy
GIPSY SERES,54.0,68.75,2019-12-17,London Academy
RUBE BEALS,59.0,68.75,2019-12-17,London Academy
IVES WEDDELL,54.0,50.0,2019-12-17,London Academy
VERA BROADFOOT,63.0,62.5,2019-12-17,London Academy
BREW BOTTERELL,54.0,53.12,2019-12-17,London Academy
CELESTA BINION,61.0,78.12,2019-12-17,London Academy
MAISON PURSE,61.0,62.5,2019-12-17,London Academy
ARNE WARNE,41.0,65.62,2019-12-17,London Academy
RAFFAELLO MORTLOCK,36.0,62.5,2019-12-17,London Academy
LEE AMBROGIOLI,63.0,62.5,2019-12-17,London Academy
EDNA DILSTON,68.0,68.75,2019-12-17,London Academy
AGNETA FANTINI,58.0,59.38,2019-01-17,Birmingham Academy
KARE GARVILL,48.0,53.12,2019-01-17,Birmingham Academy
CHUCHO TIFT,56.0,37.5,2019-01-17,Birmingham Academy
TEDDY HAM,59.0,78.12,2019-01-17,Birmingham Academy
MARC EXTANCE,46.0,50.0,2019-01-17,Birmingham Academy
LAURETTA BARTELL,51.0,75.0,2019-01-17,Birmingham Academy
KALA DOEG,48.0,87.5,2019-01-17,Birmingham Academy
LINOEL FISSENDEN,59.0,59.38,2019-01-17,Birmingham Academy
REINALDOS RAYNE,59.0,50.0,2019-01-17,Birmingham Academy
ZECHARIAH SALZBERGER,47.0,59.38,2019-01-17,Birmingham Academy
SYLVAN ASHER,51.0,75.0,2019-01-17,Birmingham Academy
GEORGIE PEREL,51.0,78.12,2019-01-17,Birmingham Academy
LAZAR SELIGSON,67.0,34.38,2019-01-17,Birmingham Academy
BERNADETTE GERARDI,53.0,65.62,2019-01-17,Birmingham Academy
JENIFER PICKLES,41.0,46.88,2019-01-17,Birmingham Academy
TONNIE ROYDEN,44.0,62.5,2019-01-17,Birmingham Academy
GELYA PYSON,54.0,71.88,2019-01-17,Birmingham Academy
AIDA BOTHAMS,56.0,68.75,2019-01-17,Birmingham Academy
MUFFIN WIGGLESWORTH,53.0,65.62,2019-01-17,Birmingham Academy
BART GODILINGTON,57.0,46.88,2019-01-17,Birmingham Academy
ALLIANORA ROWDELL,55.0,68.75,2019-01-17,Birmingham Academy
RANDY SEMKEN,61.0,71.88,2019-01-17,Birmingham Academy
WAKEFIELD JEVES,58.0,53.12,2019-01-17,Birmingham Academy
NETTIE CIVITILLO,55.0,53.12,2019-01-17,Birmingham Academy
BARNABAS CRINION,64.0,71.88,2019-01-17,Birmingham Academy
KYLYNN JEWES,58.0,59.38,2019-01-17,Birmingham Academy
ROMOLA COLDTART,54.0,62.5,2019-07-17,London Academy
SHEA CHASMOOR,59.0,59.38,2019-07-17,London Academy
ELDIN BROSTER,55.0,68.75,2019-07-17,London Academy
FEE KARPE,53.0,59.38,2019-07-17,London Academy
ANTONIUS HEAPE,51.0,62.5,2019-07-17,London Academy
RAD BENCH,55.0,68.75,2019-07-17,London Academy
EMMETT STOGILL,51.0,59.38,2019-07-17,London Academy
ROXIE GLASBY,55.0,43.75,2019-07-17,London Academy
OFILIA KEIZMAN,62.0,53.12,2019-07-17,London Academy
ALEX PEASCOD,58.0,40.62,2019-07-17,London Academy
PATRIZIA WYRE,56.0,59.38,2019-07-17,London Academy
COURTNAY DUIGED,62.0,53.12,2019-07-17,London Academy
SARENA WEATHERILL,59.0,68.75,2019-07-17,London Academy
BARR KHOSA,49.0,62.5,2019-07-17,London Academy
EVIN DE ROECK,62.0,56.25,2019-07-17,London Academy
BROOKE PAOLINO,49.0,59.38,2019-07-17,London Academy
LAIRD GRECE,51.0,75.0,2019-07-17,London Academy
PAULINA TEAR,52.0,65.62,2019-07-17,London Academy
MARSHA LIPPETT,48.0,68.75,2019-07-17,London Academy
AVICTOR MOOREY,62.0,71.88,2019-07-17,London Academy
JOSEITO DUIGED,60.0,68.75,2019-07-17,London Academy
HASTIE HANTUSCH,55.0,50.0,2019-07-17,London Academy
BURNABY MACKAY,52.0,68.75,2019-07-17,London Academy
LINC RIDGWAY,68.0,71.88,2019-07-17,London Academy
ANY SHOTBOLT,60.0,53.12,2019-10-17,Birmingham Academy
KORRY KENWORTH,60.0,59.38,2019-10-17,Birmingham Academy
STEPHIE BOORNE,38.0,71.88,2019-10-17,Birmingham Academy
ASHELY BRITTLES,50.0,65.62,2019-10-17,Birmingham Academy
SAMMIE BEAMS,63.0,59.38,2019-10-17,Birmingham Academy
ADDA BROMONT,56.0,65.62,2019-10-17,Birmingham Academy
EVEY WHITELAND,55.0,53.12,2019-10-17,Birmingham Academy
VERINE PICKRING,54.0,56.25,2019-10-17,Birmingham Academy
WALT KIRKBY,57.0,62.5,2019-10-17,Birmingham Academy
KINGSLY EMMER,40.0,50.0,2019-10-17,Birmingham Academy
DAMIANO PETRUSCH,49.0,59.38,2019-10-17,Birmingham Academy
DINA MCGOOKIN,57.0,56.25,2019-10-17,Birmingham Academy
PATTEN TINMAN,63.0,81.25,2019-10-17,Birmingham Academy
FABIO CATTEMULL,65.0,56.25,2019-10-17,Birmingham Academy
DUDLEY WHILES,54.0,46.88,2019-10-17,Birmingham Academy
TEIRTZA GHION,62.0,59.38,2019-10-17,Birmingham Academy
ALICE VICKERY,47.0,62.5,2019-10-17,Birmingham Academy
TUCKY HENSTRIDGE,60.0,59.38,2019-10-17,Birmingham Academy
HILDY TODD,49.0,46.88,2019-10-17,Birmingham Academy
SANDY DROOGAN,53.0,59.38,2019-10-17,Birmingham Academy
DRUCY ADOLTHINE,50.0,75.0,2019-10-17,Birmingham Academy
DYNA CRISTOFANO,55.0,59.38,2019-10-17,Birmingham Academy
HYACINTH MERON,53.0,50.0,2019-10-17,Birmingham Academy
DRU PABEL,50.0,84.38,2019-10-17,Birmingham Academy
LORIN JOZEF,50.0,53.12,2019-10-17,Birmingham Academy
MISTY PITT,64.0,65.62,2019-10-17,Birmingham Academy
VERNOR D'ALMEIDA,50.0,68.75,2019-10-17,Birmingham Academy
BRITTAN MOUAT,51.0,65.62,2019-10-17,Birmingham Academy
DEN ROMAN,56.0,56.25,2019-10-17,Birmingham Academy
CONRAD CEILLIER,46.0,53.12,2019-09-17,London Academy
PARRY OSWICK,46.0,65.62,2019-09-17,London Academy
DUFFIE HANSCOMBE,56.0,75.0,2019-09-17,London Academy
ISACCO MATUSCHEK,62.0,50.0,2019-09-17,London Academy
WOODY ORRITT,46.0,59.38,2019-09-17,London Academy
ADAH SILVERTON,59.0,68.75,2019-09-17,London Academy
MICHEL CHAFFEY,48.0,68.75,2019-09-17,London Academy
CRISTAL JEANS,62.0,78.12,2019-09-17,London Academy
TORIE ALESSANDRINI,58.0,37.5,2019-09-17,London Academy
MICHEL KHOTER,47.0,59.38,2019-09-17,London Academy
RUBY LARCIERE,50.0,59.38,2019-09-17,London Academy
WOLFIE MACIEJA,57.0,78.12,2019-09-17,London Academy
DAVIDDE TUOHY,58.0,71.88,2019-09-17,London Academy
OTES KEMSTER,52.0,81.25,2019-09-17,London Academy
ABDUL NAIL,52.0,37.5,2019-09-17,London Academy
BRENDAN TITHECOTT,55.0,71.88,2019-09-17,London Academy
JACINTHE PACKHAM,61.0,71.88,2019-09-17,London Academy
BEVON CLAYWORTH,55.0,50.0,2019-09-17,London Academy
KRISTA TRETHEWEY,47.0,71.88,2019-09-17,London Academy
PHILOMENA CESSFORD,54.0,62.5,2019-09-17,London Academy
FIONA GOODBODDY,50.0,50.0,2019-09-17,London Academy
PASQUALE CRITTEN,49.0,71.88,2019-09-17,London Academy
BONIFACE TANSLEY,54.0,62.5,2019-09-17,London Academy
TOMA MACGIBBON,47.0,56.25,2019-09-17,London Academy
BLANE MANDERSON,61.0,59.38,2019-09-17,London Academy
CONSTANTINE CASLETT,62.0,78.12,2019-09-17,London Academy
KEENE SLIMM,64.0,75.0,2019-09-17,London Academy
SIBYLLE JURIS,51.0,68.75,2019-09-17,London Academy
ZONDRA FIPPE,60.0,46.88,2019-09-17,London Academy
KENDALL DAUGHTREY,50.0,65.62,2019-09-17,London Academy
GENA TRUSTRIE,46.0,68.75,2019-09-17,London Academy
PAPAGENO KINNERLEY,47.0,56.25,2019-09-17,London Academy
AVERILL PICKANCE,54.0,71.88,2019-09-17,London Academy
STAR LAPTHORN,52.0,43.75,2019-09-17,London Academy
SHAWN ROBERTSHAW,47.0,68.75,2019-09-17,London Academy
PATRICIO STENET,50.0,62.5,2019-09-17,London Academy
ELICIA NUTKIN,51.0,56.25,2019-09-17,London Academy
COLLEEN ROSSEY,41.0,59.38,2019-09-17,London Academy
SIEGFRIED EVERAL,53.0,71.88,2019-09-17,London Academy
CHANDRA BEST,57.0,68.75,2019-09-17,London Academy
STANDFORD GLANERT,41.0,62.5,2019-09-17,London Academy
SILVIO RANDAL,63.0,40.62,2019-09-17,London Academy
JANKA CLEMENCET,53.0,68.75,2019-09-17,London Academy
NATHANIEL IANNETTI,46.0,59.38,2019-09-17,London Academy
BERKLEY BARTOMEU,57.0,43.75,2019-09-17,London Academy
LAMAR MACGEBENAY,57.0,62.5,2019-09-17,London Academy
KALVIN WADWORTH,50.0,43.75,2019-09-17,London Academy
DARIA TUDGE,57.0,43.75,2019-09-17,London Academy
HASTINGS FLOWER,48.0,87.5,2019-09-17,London Academy
KASSI PINNOCK,63.0,46.88,2019-04-18,Birmingham Academy
RIP MCILVENNY,64.0,65.62,2019-04-18,Birmingham Academy
SIBYL BRADDICK,61.0,81.25,2019-04-18,Birmingham Academy
JANET COPNER,55.0,81.25,2019-04-18,Birmingham Academy
IVETT BRIDEL,59.0,68.75,2019-04-18,Birmingham Academy
MANDY MARGARET,48.0,43.75,2019-04-18,Birmingham Academy
BROSE BENAINE,54.0,53.12,2019-04-18,Birmingham Academy
AGGY HEFFERAN,60.0,53.12,2019-04-18,Birmingham Academy
CANDIE GEARE,40.0,75.0,2019-04-18,Birmingham Academy
NANETTE BORRILL,59.0,75.0,2019-04-18,Birmingham Academy
HERVEY CLIMER,59.0,68.75,2019-04-18,Birmingham Academy
SHELAGH BARTHEL,66.0,50.0,2019-04-18,Birmingham Academy
SONNNIE STELLJES,66.0,59.38,2019-04-18,Birmingham Academy
PREN ABRAMOVICZ,63.0,46.88,2019-04-18,Birmingham Academy
FELICE CULKIN,49.0,62.5,2019-04-18,Birmingham Academy
HAROUN MCCROHON,57.0,59.38,2019-04-18,Birmingham Academy
ELLIOT RUCKERT,62.0,62.5,2019-04-18,Birmingham Academy
OTHILIA SKYPP,59.0,68.75,2019-04-18,Birmingham Academy
IVETT POTE,49.0,78.12,2019-04-18,Birmingham Academy
THATCHER FRANKISH,63.0,65.62,2019-04-18,Birmingham Academy
JOYCELIN DOERFFER,56.0,65.62,2019-04-18,Birmingham Academy
FELICIA ANNION,46.0,68.75,2019-04-18,Birmingham Academy
WENDELL THOMASSEN,55.0,59.38,2019-04-18,Birmingham Academy
MIRABELLE SHAKESHAFT,58.0,81.25,2019-12-18,London Academy
SEE FOYNES,50.0,43.75,2019-12-18,London Academy
HERSCH HOLBURN,53.0,62.5,2019-12-18,London Academy
ADINA SETON,60.0,59.38,2019-12-18,London Academy
MORT LETRANGE,40.0,68.75,2019-12-18,London Academy
NADY SMALLPIECE,63.0,46.88,2019-12-18,London Academy
NOREAN CASTON,50.0,56.25,2019-12-18,London Academy
HEBERT BUBBINS,47.0,68.75,2019-12-18,London Academy
TIPHANIE SELWAY,54.0,59.38,2019-12-18,London Academy
DAVY REISENBERG,48.0,75.0,2019-12-18,London Academy
CLAREY FAGAN,48.0,65.62,2019-12-18,London Academy
CANDY VANN,54.0,56.25,2019-12-18,London Academy
WINONA STROTTON,55.0,46.88,2019-12-18,London Academy
BAIL DELGARDO,44.0,56.25,2019-12-18,London Academy
HARRI HEINSCHKE,56.0,56.25,2019-12-18,London Academy
LURLEEN MORO,54.0,53.12,2019-12-18,London Academy
DANNYE FRACZEK,50.0,59.38,2019-12-18,London Academy
MARLOWE BAXSTARE,45.0,53.12,2019-12-18,London Academy
SYDELLE GASCOIGNE,44.0,68.75,2019-12-18,London Academy
ROCHETTE BELLFIELD,59.0,68.75,2019-12-18,London Academy
ARNEY WATSHAM,49.0,31.25,2019-12-18,London Academy
CALLIDA BRAZEL,46.0,56.25,2019-12-18,London Academy
SUNNY STONEBRIDGE,49.0,53.12,2019-12-18,London Academy
CRIS VAN SCHAFFLAER,57.0,62.5,2019-12-18,London Academy
LINETTE HENDONSON,46.0,53.12,2019-12-18,London Academy
ROSANNE MACCAUGHEY,49.0,65.62,2019-12-18,London Academy
CIRILO CROY,52.0,84.38,2019-12-18,London Academy
LORA KIEBES,61.0,56.25,2019-12-18,London Academy
ROBINA ROSEN,48.0,50.0,2019-12-18,London Academy
HENDRICK SKELLON,64.0,71.88,2019-12-18,London Academy
SISILE RAWOOD,45.0,68.75,2019-12-18,London Academy
BEVERLIE NEWHOUSE,56.0,59.38,2019-12-18,London Academy
GUSTA KLAGGES,56.0,75.0,2019-12-18,London Academy
MARVE BOATSWAIN,56.0,75.0,2019-12-18,London Academy
LOUELLA PARRADYE,53.0,78.12,2019-12-18,London Academy
BERTY HUBAN,53.0,46.88,2019-07-18,Birmingham Academy
AMANDA MINTO,59.0,65.62,2019-07-18,Birmingham Academy
JOANNES YURSHEV,58.0,71.88,2019-07-18,Birmingham Academy
VALARIA BUNTON,47.0,81.25,2019-07-18,Birmingham Academy
BARY FENDLEN,52.0,56.25,2019-07-18,Birmingham Academy
FREMONT OXLEE,51.0,71.88,2019-07-18,Birmingham Academy
HILLIARD REINARD,67.0,81.25,2019-07-18,Birmingham Academy
IRA RATHBOURNE,54.0,65.62,2019-07-18,Birmingham Academy
SHOSHANNA JANICEK,52.0,68.75,2019-07-18,Birmingham Academy
TONYE AMBROGIO,61.0,71.88,2019-07-18,Birmingham Academy
KYLIE CORDELL,60.0,84.38,2019-07-18,Birmingham Academy
ALDRICH WHITEHALL,59.0,40.62,2019-07-18,Birmingham Academy
BLAIR WOOLLHEAD,52.0,75.0,2019-07-18,Birmingham Academy
DEMETRIA O' SULLIVAN,60.0,68.75,2019-07-18,Birmingham Academy
KARLIS BOTTLE,62.0,59.38,2019-07-18,Birmingham Academy
KALIE LEADBEATTER,44.0,59.38,2019-07-18,Birmingham Academy
DORETTA HENNER,51.0,53.12,2019-07-18,Birmingham Academy
DANNEL LONGMAID,59.0,53.12,2019-07-18,Birmingham Academy
TEENA PRIEL,55.0,68.75,2019-07-18,Birmingham Academy
KATINKA TYT,50.0,62.5,2019-07-18,Birmingham Academy
MAXY BENSEN,63.0,78.12,2019-07-18,Birmingham Academy
MERWYN GOSSOP,56.0,50.0,2019-07-18,Birmingham Academy
CELINA POLLEY,63.0,68.75,2019-07-18,Birmingham Academy
ODY PARONI,70.0,46.88,2019-07-18,Birmingham Academy
BABITA TABOURIN,53.0,71.88,2019-07-18,Birmingham Academy
ANASTASIA JANSSON,47.0,50.0,2019-07-18,Birmingham Academy
KATHY CAPSTACK,53.0,65.62,2019-07-18,Birmingham Academy
RANCELL LILL,63.0,59.38,2019-07-18,Birmingham Academy
SANDOR SWATRADGE,71.0,71.88,2019-07-18,Birmingham Academy
JARRED TREDGER,45.0,62.5,2019-07-18,Birmingham Academy
BRIGGS LOGSDAIL,51.0,68.75,2019-07-18,Birmingham Academy
LONNARD O'NEILL,50.0,46.88,2019-07-18,Birmingham Academy
BILL PENDLEBURY,56.0,59.38,2019-07-18,Birmingham Academy
ABBOTT DODGSHON,57.0,50.0,2019-07-18,Birmingham Academy
DUNSTAN HALFHIDE,48.0,59.38,2019-07-18,Birmingham Academy
MONICA MINGARDI,41.0,65.62,2019-07-18,Birmingham Academy
ASHBY CAPENER,52.0,62.5,2019-07-18,Birmingham Academy
CONN DOBSON,53.0,62.5,2019-06-18,London Academy
INGABORG PITBLADO,67.0,62.5,2019-06-18,London Academy
NEALL LANNIN,49.0,53.12,2019-06-18,London Academy
BILLI NARRAWAY,53.0,65.62,2019-06-18,London Academy
DERREK SHILLINGLAW,55.0,34.38,2019-06-18,London Academy
AINSLEE PAICE,57.0,78.12,2019-06-18,London Academy
RANA ANTONIOU,47.0,65.62,2019-06-18,London Academy
AGNES ATTACK,48.0,65.62,2019-06-18,London Academy
PUTNEM ERICSSON,51.0,68.75,2019-06-18,London Academy
DEAN BRIDLE,55.0,43.75,2019-06-18,London Academy
BROD BLUNDEN,59.0,56.25,2019-06-18,London Academy
GEORGETTE GIACOMO,56.0,65.62,2019-06-18,London Academy
HUBEY BROOKES,49.0,75.0,2019-06-18,London Academy
YORK SYGROVES,61.0,68.75,2019-06-18,London Academy
NIL IACOVO,58.0,46.88,2019-06-18,London Academy
HELENA SWIRE,63.0,75.0,2019-06-18,London Academy
GINEVRA PAICE,59.0,50.0,2019-06-18,London Academy
CHANE WETWOOD,51.0,62.5,2019-06-18,London Academy
BARBRA POLLEYE,52.0,68.75,2019-06-18,London Academy
SHELBI WADDINGHAM,54.0,65.62,2019-06-18,London Academy
AINDREA NORMANVILL,58.0,71.88,2019-06-18,London Academy
HILLIARD TRUSSE,39.0,68.75,2019-06-18,London Academy
LEXINE RAPSON,61.0,65.62,2019-06-18,London Academy
CATI DUMPHRIES,62.0,84.38,2019-06-18,London Academy
TERRELL ORRIDGE,57.0,84.38,2019-06-18,London Academy
BENEDICK DE ROBERTO,49.0,62.5,2019-06-18,London Academy
CORNELIA ARTIST,61.0,59.38,2019-06-18,London Academy
MUHAMMAD LINN,62.0,59.38,2019-06-18,London Academy
ELICIA BROGGIO,59.0,62.5,2019-06-18,London Academy
ADLER WINGATT,58.0,71.88,2019-06-18,London Academy
JEFFREY BORRELL,43.0,50.0,2019-06-18,London Academy
ASHBEY SEAKES,59.0,50.0,2019-06-18,London Academy
PATRICE DOWE,45.0,71.88,2019-06-18,London Academy
CALIDA BEHR,66.0,65.62,2019-06-18,London Academy
MORA JOUTAPAVICIUS,56.0,59.38,2019-06-18,London Academy
TADEAS BIDMEAD,59.0,75.0,2019-06-18,London Academy
MATHIAN CREWS,43.0,78.12,2019-06-18,London Academy
CLYWD MUSGROVE,59.0,62.5,2019-06-18,London Academy
DARN KIRKBY,52.0,59.38,2019-06-18,London Academy
YVOR SHEPSTONE,54.0,56.25,2019-06-18,London Academy
MAIBLE ANTIC,53.0,56.25,2019-06-18,London Academy
CARLO BEEKMAN,52.0,46.88,2019-06-18,London Academy
KAT SUTHERLAND,55.0,65.62,2019-06-18,London Academy
LELAND WITHER,58.0,62.5,2019-06-18,London Academy
MURVYN BUDNK,48.0,75.0,2019-06-18,London Academy
BRANDISE MOSTON,69.0,78.12,2019-06-18,London Academy
DANIELE ISKOWICZ,53.0,53.12,2019-06-18,London Academy
WILDEN CLAISSE,64.0,78.12,2019-06-18,London Academy
BOYCEY MCSPIRRON,48.0,62.5,2019-06-18,London Academy
NEALON CISLAND,60.0,43.75,2019-06-18,London Academy
LAVINIE MARSHMAN,51.0,59.38,2019-06-18,London Academy
PAULITA SIMMONDS,53.0,43.75,2019-09-18,London Academy
GIFFORD GANTER,59.0,71.88,2019-09-18,London Academy
DEMOTT ROHLF,42.0,43.75,2019-09-18,London Academy
WEYLIN CHONG,58.0,65.62,2019-09-18,London Academy
DORICE SLIDES,60.0,65.62,2019-09-18,London Academy
SUMNER KOP,63.0,65.62,2019-09-18,London Academy
DELMORE MCKNISH,56.0,62.5,2019-09-18,London Academy
SCHUYLER MCKIMM,60.0,56.25,2019-09-18,London Academy
DONOVAN WHISTAN,58.0,62.5,2019-09-18,London Academy
HAD VEAZEY,59.0,75.0,2019-09-18,London Academy
SVEN ANTONESCU,53.0,75.0,2019-09-18,London Academy
RAFFERTY CAMAMILE,49.0,68.75,2019-09-18,London Academy
GRAZIA MACGINNEY,56.0,71.88,2019-09-18,London Academy
ALDWIN GINMAN,61.0,65.62,2019-09-18,London Academy
AUGUSTINE COREY,48.0,65.62,2019-09-18,London Academy
