,name,psychometrics_score,presentation_score,date,location
21,Vina Flott,57.0,56.25,2019-07-16,London Academy
22,Alexis Shee,47.0,62.5,2019-07-16,London Academy
23,Portia Farfalameev,59.0,56.25,2019-07-16,London Academy
24,Martelle Veneur,43.0,43.75,2019-07-16,London Academy
25,Tad Mcilhagga,65.0,56.25,2019-07-16,London Academy
0,Bobby Mccracken,46.0,75.0,2019-05-16,Birmingham Academy
1,Andrei Musslewhite,51.0,71.88,2019-05-16,Birmingham Academy
2,Vilhelmina Kissell,63.0,65.62,2019-05-16,Birmingham Academy
3,Standford Brewitt,56.0,68.75,2019-05-16,Birmingham Academy
4,Alfi Mccracken,63.0,56.25,2019-05-16,Birmingham Academy
5,Mercedes Cadden,48.0,62.5,2019-05-16,Birmingham Academy
6,Linus Pietruszewicz,58.0,65.62,2019-05-16,Birmingham Academy
7,Corena Birtley,46.0,78.12,2019-05-16,Birmingham Academy
8,Philippa Mccalister,51.0,50.0,2019-05-16,Birmingham Academy
9,Sebastiano Ramsby,43.0,50.0,2019-05-16,Birmingham Academy
10,Patin Storek,51.0,75.0,2019-05-16,Birmingham Academy
11,Alidia Govett,56.0,59.38,2019-05-16,Birmingham Academy
12,Juieta Tellett,63.0,81.25,2019-05-16,Birmingham Academy
13,Fonz Grzegorzewicz,48.0,50.0,2019-05-16,Birmingham Academy
14,Heindrick Mckiddin,58.0,78.12,2019-05-16,Birmingham Academy
15,Benedikt Scogings,59.0,78.12,2019-05-16,Birmingham Academy
16,Davidson Biskupiak,40.0,65.62,2019-05-16,Birmingham Academy
17,Abey Lightollers,62.0,59.38,2019-05-16,Birmingham Academy
18,Gerianne Bagge,58.0,50.0,2019-05-16,Birmingham Academy
19,Filberto Annis,54.0,78.12,2019-05-16,Birmingham Academy
0,Clay Perillo,68.0,56.25,2019-10-16,London Academy
1,Margaretta Gedling,55.0,78.12,2019-10-16,London Academy
2,Arlie Baynam,43.0,68.75,2019-10-16,London Academy
3,Deana Lynds,61.0,78.12,2019-10-16,London Academy
4,Chucho Kegan,51.0,59.38,2019-10-16,London Academy
5,Olly Aitkenhead,45.0,53.12,2019-10-16,London Academy
6,Adey Bramwell,52.0,37.5,2019-10-16,London Academy
7,Jordain Offen,62.0,65.62,2019-10-16,London Academy
8,Englebert Hedman,62.0,62.5,2019-10-16,London Academy
9,Elvera Gorman,54.0,62.5,2019-10-16,London Academy
10,Aland Houchin,44.0,53.12,2019-10-16,London Academy
11,Jesus Keller,54.0,37.5,2019-10-16,London Academy
12,Engelbert Palatino,64.0,75.0,2019-10-16,London Academy
13,Zondra Lindgren,48.0,59.38,2019-10-16,London Academy
14,Caren Puig,54.0,75.0,2019-10-16,London Academy
15,Marmaduke Kiefer,64.0,65.62,2019-10-16,London Academy
16,Gabi Fice,55.0,68.75,2019-10-16,London Academy
17,Tiffi Reddlesden,50.0,65.62,2019-10-16,London Academy
18,Mirabelle Tidder,66.0,59.38,2019-10-16,London Academy
19,Evelyn Lukash,47.0,53.12,2019-10-16,London Academy
20,Elita Foch,51.0,81.25,2019-10-16,London Academy
21,Winona Carlaw,68.0,75.0,2019-10-16,London Academy
0,Rivi Epinay,53.0,59.38,2019-04-17,London Academy
1,Ash Hannon,59.0,59.38,2019-04-17,London Academy
2,Marie-Ann Vaar,52.0,65.62,2019-04-17,London Academy
3,Alli Sleeford,55.0,62.5,2019-04-17,London Academy
4,Maure Tink,47.0,53.12,2019-04-17,London Academy
5,Erastus Wenger,43.0,56.25,2019-04-17,London Academy
6,Brooks Gethouse,55.0,59.38,2019-04-17,London Academy
7,Ilka Moodie,51.0,78.12,2019-04-17,London Academy
8,Mylo Leband,44.0,50.0,2019-04-17,London Academy
9,Gianina Bessent,56.0,78.12,2019-04-17,London Academy
10,Brendon Ferrieri,73.0,62.5,2019-04-17,London Academy
11,Ashli Mullaney,49.0,59.38,2019-04-17,London Academy
12,Ellerey Shenton,46.0,71.88,2019-04-17,London Academy
13,Guinna Garford,50.0,53.12,2019-04-17,London Academy
14,Suzy Blaisdell,59.0,75.0,2019-04-17,London Academy
15,Gradey Connor,54.0,68.75,2019-04-17,London Academy
16,Carlyn Durram,55.0,43.75,2019-04-17,London Academy
17,Biddy Rapps,53.0,59.38,2019-04-17,London Academy
18,Thea Labbey,40.0,68.75,2019-04-17,London Academy
19,Annemarie Dulinty,48.0,81.25,2019-04-17,London Academy
20,Beth Tiner,64.0,71.88,2019-04-17,London Academy
21,Kayle Ferenc,52.0,62.5,2019-04-17,London Academy
22,Gonzalo Danniell,50.0,68.75,2019-04-17,London Academy
0,Charmian Martinuzzi,58.0,68.75,2019-12-17,London Academy
1,Eba Tarbath,51.0,65.62,2019-12-17,London Academy
2,Nobe Guerrazzi,54.0,59.38,2019-12-17,London Academy
3,Gerda Yuille,59.0,62.5,2019-12-17,London Academy
4,Berkly Fishleigh,51.0,75.0,2019-12-17,London Academy
5,Sherwood Sandercock,57.0,62.5,2019-12-17,London Academy
6,Blondelle Jaan,63.0,46.88,2019-12-17,London Academy
7,Hermie Lassell,49.0,75.0,2019-12-17,London Academy
8,Lawton Hiddsley,58.0,53.12,2019-12-17,London Academy
9,Giuseppe Cobbin,50.0,43.75,2019-12-17,London Academy
10,Gipsy Seres,54.0,68.75,2019-12-17,London Academy
11,Rube Beals,59.0,68.75,2019-12-17,London Academy
12,Ives Weddell,54.0,50.0,2019-12-17,London Academy
13,Vera Broadfoot,63.0,62.5,2019-12-17,London Academy
14,Brew Botterell,54.0,53.12,2019-12-17,London Academy
15,Celesta Binion,61.0,78.12,2019-12-17,London Academy
16,Maison Purse,61.0,62.5,2019-12-17,London Academy
17,Arne Warne,41.0,65.62,2019-12-17,London Academy
18,Raffaello Mortlock,36.0,62.5,2019-12-17,London Academy
19,Lee Ambrogioli,63.0,62.5,2019-12-17,London Academy
20,Edna Dilston,68.0,68.75,2019-12-17,London Academy
21,Rafaelita D'Ambrogi,57.0,56.25,2019-12-17,London Academy
0,Agneta Fantini,58.0,59.38,2019-01-17,Birmingham Academy
1,Kare Garvill,48.0,53.12,2019-01-17,Birmingham Academy
2,Chucho Tift,56.0,37.5,2019-01-17,Birmingham Academy
3,Teddy Ham,59.0,78.12,2019-01-17,Birmingham Academy
4,Marc Extance,46.0,50.0,2019-01-17,Birmingham Academy
5,Lauretta Bartell,51.0,75.0,2019-01-17,Birmingham Academy
6,Kala Doeg,48.0,87.5,2019-01-17,Birmingham Academy
7,Linoel Fissenden,59.0,59.38,2019-01-17,Birmingham Academy
8,Reinaldos Rayne,59.0,50.0,2019-01-17,Birmingham Academy
9,Zechariah Salzberger,47.0,59.38,2019-01-17,Birmingham Academy
10,Sylvan Asher,51.0,75.0,2019-01-17,Birmingham Academy
11,Georgie Perel,51.0,78.12,2019-01-17,Birmingham Academy
12,Lazar Seligson,67.0,34.38,2019-01-17,Birmingham Academy
13,Bernadette Gerardi,53.0,65.62,2019-01-17,Birmingham Academy
14,Jenifer Pickles,41.0,46.88,2019-01-17,Birmingham Academy
15,Tonnie Royden,44.0,62.5,2019-01-17,Birmingham Academy
16,Gelya Pyson,54.0,71.88,2019-01-17,Birmingham Academy
17,Aida Bothams,56.0,68.75,2019-01-17,Birmingham Academy
18,Muffin Wigglesworth,53.0,65.62,2019-01-17,Birmingham Academy
19,Bart Godilington,57.0,46.88,2019-01-17,Birmingham Academy
20,Allianora Rowdell,55.0,68.75,2019-01-17,Birmingham Academy
21,Randy Semken,61.0,71.88,2019-01-17,Birmingham Academy
22,Wakefield Jeves,58.0,53.12,2019-01-17,Birmingham Academy
23,Nettie Civitillo,55.0,53.12,2019-01-17,Birmingham Academy
24,Barnabas Crinion,64.0,71.88,2019-01-17,Birmingham Academy
25,Kylynn Jewes,58.0,59.38,2019-01-17,Birmingham Academy
26,Archaimbaud Buller,63.0,56.25,2019-01-17,Birmingham Academy
0,Romola Coldtart,54.0,62.5,2019-07-17,London Academy
1,Shea Chasmoor,59.0,59.38,2019-07-17,London Academy
2,Eldin Broster,55.0,68.75,2019-07-17,London Academy
3,Fee Karpe,53.0,59.38,2019-07-17,London Academy
4,Antonius Heape,51.0,62.5,2019-07-17,London Academy
5,Rad Bench,55.0,68.75,2019-07-17,London Academy
6,Emmett Stogill,51.0,59.38,2019-07-17,London Academy
7,Roxie Glasby,55.0,43.75,2019-07-17,London Academy
8,Ofilia Keizman,62.0,53.12,2019-07-17,London Academy
9,Alex Peascod,58.0,40.62,2019-07-17,London Academy
10,Patrizia Wyre,56.0,59.38,2019-07-17,London Academy
11,Courtnay Duiged,62.0,53.12,2019-07-17,London Academy
12,Sarena Weatherill,59.0,68.75,2019-07-17,London Academy
13,Barr Khosa,49.0,62.5,2019-07-17,London Academy
14,Evin De Roeck,62.0,56.25,2019-07-17,London Academy
15,Brooke Paolino,49.0,59.38,2019-07-17,London Academy
16,Laird Grece,51.0,75.0,2019-07-17,London Academy
17,Paulina Tear,52.0,65.62,2019-07-17,London Academy
18,Marsha Lippett,48.0,68.75,2019-07-17,London Academy
19,Avictor Moorey,62.0,71.88,2019-07-17,London Academy
20,Joseito Duiged,60.0,68.75,2019-07-17,London Academy
21,Hastie Hantusch,55.0,50.0,2019-07-17,London Academy
22,Burnaby Mackay,52.0,68.75,2019-07-17,London Academy
23,Linc Ridgway,68.0,71.88,2019-07-17,London Academy
24,Adelbert Terney,49.0,65.62,2019-07-17,London Academy
0,Any Shotbolt,60.0,53.12,2019-10-17,Birmingham Academy
1,Korry Kenworth,60.0,59.38,2019-10-17,Birmingham Academy
2,Stephie Boorne,38.0,71.88,2019-10-17,Birmingham Academy
3,Ashely Brittles,50.0,65.62,2019-10-17,Birmingham Academy
4,Sammie Beams,63.0,59.38,2019-10-17,Birmingham Academy
5,Adda Bromont,56.0,65.62,2019-10-17,Birmingham Academy
6,Evey Whiteland,55.0,53.12,2019-10-17,Birmingham Academy
7,Verine Pickring,54.0,56.25,2019-10-17,Birmingham Academy
8,Walt Kirkby,57.0,62.5,2019-10-17,Birmingham Academy
9,Kingsly Emmer,40.0,50.0,2019-10-17,Birmingham Academy
10,Damiano Petrusch,49.0,59.38,2019-10-17,Birmingham Academy
11,Dina Mcgookin,57.0,56.25,2019-10-17,Birmingham Academy
12,Patten Tinman,63.0,81.25,2019-10-17,Birmingham Academy
13,Fabio Cattemull,65.0,56.25,2019-10-17,Birmingham Academy
14,Dudley Whiles,54.0,46.88,2019-10-17,Birmingham Academy
15,Teirtza Ghion,62.0,59.38,2019-10-17,Birmingham Academy
16,Alice Vickery,47.0,62.5,2019-10-17,Birmingham Academy
17,Tucky Henstridge,60.0,59.38,2019-10-17,Birmingham Academy
18,Hildy Todd,49.0,46.88,2019-10-17,Birmingham Academy
19,Sandy Droogan,53.0,59.38,2019-10-17,Birmingham Academy
20,Drucy Adolthine,50.0,75.0,2019-10-17,Birmingham Academy
21,Dyna Cristofano,55.0,59.38,2019-10-17,Birmingham Academy
22,Hyacinth Meron,53.0,50.0,2019-10-17,Birmingham Academy
23,Dru Pabel,50.0,84.38,2019-10-17,Birmingham Academy
24,Lorin Jozef,50.0,53.12,2019-10-17,Birmingham Academy
25,Misty Pitt,64.0,65.62,2019-10-17,Birmingham Academy
26,Vernor D'Almeida,50.0,68.75,2019-10-17,Birmingham Academy
27,Brittan Mouat,51.0,65.62,2019-10-17,Birmingham Academy
28,Den Roman,56.0,56.25,2019-10-17,Birmingham Academy
29,Ezequiel Cotsford,54.0,68.75,2019-10-17,Birmingham Academy
0,Conrad Ceillier,46.0,53.12,2019-09-17,London Academy
1,Parry Oswick,46.0,65.62,2019-09-17,London Academy
2,Duffie Hanscombe,56.0,75.0,2019-09-17,London Academy
3,Isacco Matuschek,62.0,50.0,2019-09-17,London Academy
4,Woody Orritt,46.0,59.38,2019-09-17,London Academy
5,Adah Silverton,59.0,68.75,2019-09-17,London Academy
6,Michel Chaffey,48.0,68.75,2019-09-17,London Academy
7,Cristal Jeans,62.0,78.12,2019-09-17,London Academy
8,Torie Alessandrini,58.0,37.5,2019-09-17,London Academy
9,Michel Khoter,47.0,59.38,2019-09-17,London Academy
10,Ruby Larciere,50.0,59.38,2019-09-17,London Academy
11,Wolfie Macieja,57.0,78.12,2019-09-17,London Academy
12,Davidde Tuohy,58.0,71.88,2019-09-17,London Academy
13,Otes Kemster,52.0,81.25,2019-09-17,London Academy
14,Abdul Nail,52.0,37.5,2019-09-17,London Academy
15,Brendan Tithecott,55.0,71.88,2019-09-17,London Academy
16,Jacinthe Packham,61.0,71.88,2019-09-17,London Academy
17,Bevon Clayworth,55.0,50.0,2019-09-17,London Academy
18,Krista Trethewey,47.0,71.88,2019-09-17,London Academy
19,Philomena Cessford,54.0,62.5,2019-09-17,London Academy
20,Fiona Goodboddy,50.0,50.0,2019-09-17,London Academy
21,Pasquale Critten,49.0,71.88,2019-09-17,London Academy
22,Boniface Tansley,54.0,62.5,2019-09-17,London Academy
23,Toma Macgibbon,47.0,56.25,2019-09-17,London Academy
24,Blane Manderson,61.0,59.38,2019-09-17,London Academy
25,Constantine Caslett,62.0,78.12,2019-09-17,London Academy
26,Keene Slimm,64.0,75.0,2019-09-17,London Academy
27,Sibylle Juris,51.0,68.75,2019-09-17,London Academy
28,Zondra Fippe,60.0,46.88,2019-09-17,London Academy
29,Kendall Daughtrey,50.0,65.62,2019-09-17,London Academy
30,Gena Trustrie,46.0,68.75,2019-09-17,London Academy
31,Papageno Kinnerley,47.0,56.25,2019-09-17,London Academy
32,Averill Pickance,54.0,71.88,2019-09-17,London Academy
33,Star Lapthorn,52.0,43.75,2019-09-17,London Academy
34,Shawn Robertshaw,47.0,68.75,2019-09-17,London Academy
35,Patricio Stenet,50.0,62.5,2019-09-17,London Academy
36,Elicia Nutkin,51.0,56.25,2019-09-17,London Academy
37,Colleen Rossey,41.0,59.38,2019-09-17,London Academy
38,Siegfried Everal,53.0,71.88,2019-09-17,London Academy
39,Chandra Best,57.0,68.75,2019-09-17,London Academy
40,Standford Glanert,41.0,62.5,2019-09-17,London Academy
41,Silvio Randal,63.0,40.62,2019-09-17,London Academy
42,Janka Clemencet,53.0,68.75,2019-09-17,London Academy
43,Nathaniel Iannetti,46.0,59.38,2019-09-17,London Academy
44,Berkley Bartomeu,57.0,43.75,2019-09-17,London Academy
45,Lamar Macgebenay,57.0,62.5,2019-09-17,London Academy
46,Kalvin Wadworth,50.0,43.75,2019-09-17,London Academy
47,Daria Tudge,57.0,43.75,2019-09-17,London Academy
48,Hastings Flower,48.0,87.5,2019-09-17,London Academy
49,Umeko Bozier,54.0,53.12,2019-09-17,London Academy
0,Kassi Pinnock,63.0,46.88,2019-04-18,Birmingham Academy
1,Rip Mcilvenny,64.0,65.62,2019-04-18,Birmingham Academy
2,Sibyl Braddick,61.0,81.25,2019-04-18,Birmingham Academy
3,Janet Copner,55.0,81.25,2019-04-18,Birmingham Academy
4,Ivett Bridel,59.0,68.75,2019-04-18,Birmingham Academy
5,Mandy Margaret,48.0,43.75,2019-04-18,Birmingham Academy
6,Brose Benaine,54.0,53.12,2019-04-18,Birmingham Academy
7,Aggy Hefferan,60.0,53.12,2019-04-18,Birmingham Academy
8,Candie Geare,40.0,75.0,2019-04-18,Birmingham Academy
9,Nanette Borrill,59.0,75.0,2019-04-18,Birmingham Academy
10,Hervey Climer,59.0,68.75,2019-04-18,Birmingham Academy
11,Shelagh Barthel,66.0,50.0,2019-04-18,Birmingham Academy
12,Sonnnie Stelljes,66.0,59.38,2019-04-18,Birmingham Academy
13,Pren Abramovicz,63.0,46.88,2019-04-18,Birmingham Academy
14,Felice Culkin,49.0,62.5,2019-04-18,Birmingham Academy
15,Haroun Mccrohon,57.0,59.38,2019-04-18,Birmingham Academy
16,Elliot Ruckert,62.0,62.5,2019-04-18,Birmingham Academy
17,Othilia Skypp,59.0,68.75,2019-04-18,Birmingham Academy
18,Ivett Pote,49.0,78.12,2019-04-18,Birmingham Academy
19,Thatcher Frankish,63.0,65.62,2019-04-18,Birmingham Academy
20,Joycelin Doerffer,56.0,65.62,2019-04-18,Birmingham Academy
21,Felicia Annion,46.0,68.75,2019-04-18,Birmingham Academy
22,Wendell Thomassen,55.0,59.38,2019-04-18,Birmingham Academy
23,Chandler Ilchenko,44.0,75.0,2019-04-18,Birmingham Academy
0,Mirabelle Shakeshaft,58.0,81.25,2019-12-18,London Academy
1,See Foynes,50.0,43.75,2019-12-18,London Academy
2,Hersch Holburn,53.0,62.5,2019-12-18,London Academy
3,Adina Seton,60.0,59.38,2019-12-18,London Academy
4,Mort Letrange,40.0,68.75,2019-12-18,London Academy
5,Nady Smallpiece,63.0,46.88,2019-12-18,London Academy
6,Norean Caston,50.0,56.25,2019-12-18,London Academy
7,Hebert Bubbins,47.0,68.75,2019-12-18,London Academy
8,Tiphanie Selway,54.0,59.38,2019-12-18,London Academy
9,Davy Reisenberg,48.0,75.0,2019-12-18,London Academy
10,Clarey Fagan,48.0,65.62,2019-12-18,London Academy
11,Candy Vann,54.0,56.25,2019-12-18,London Academy
12,Winona Strotton,55.0,46.88,2019-12-18,London Academy
13,Bail Delgardo,44.0,56.25,2019-12-18,London Academy
14,Harri Heinschke,56.0,56.25,2019-12-18,London Academy
15,Lurleen Moro,54.0,53.12,2019-12-18,London Academy
16,Dannye Fraczek,50.0,59.38,2019-12-18,London Academy
17,Marlowe Baxstare,45.0,53.12,2019-12-18,London Academy
18,Sydelle Gascoigne,44.0,68.75,2019-12-18,London Academy
19,Rochette Bellfield,59.0,68.75,2019-12-18,London Academy
20,Arney Watsham,49.0,31.25,2019-12-18,London Academy
21,Callida Brazel,46.0,56.25,2019-12-18,London Academy
22,Sunny Stonebridge,49.0,53.12,2019-12-18,London Academy
23,Cris Van Schafflaer,57.0,62.5,2019-12-18,London Academy
24,Linette Hendonson,46.0,53.12,2019-12-18,London Academy
25,Rosanne Maccaughey,49.0,65.62,2019-12-18,London Academy
26,Cirilo Croy,52.0,84.38,2019-12-18,London Academy
27,Lora Kiebes,61.0,56.25,2019-12-18,London Academy
28,Robina Rosen,48.0,50.0,2019-12-18,London Academy
29,Hendrick Skellon,64.0,71.88,2019-12-18,London Academy
30,Sisile Rawood,45.0,68.75,2019-12-18,London Academy
31,Beverlie Newhouse,56.0,59.38,2019-12-18,London Academy
32,Gusta Klagges,56.0,75.0,2019-12-18,London Academy
33,Marve Boatswain,56.0,75.0,2019-12-18,London Academy
34,Louella Parradye,53.0,78.12,2019-12-18,London Academy
35,Wynn Blei,61.0,62.5,2019-12-18,London Academy
0,Berty Huban,53.0,46.88,2019-07-18,Birmingham Academy
1,Amanda Minto,59.0,65.62,2019-07-18,Birmingham Academy
2,Joannes Yurshev,58.0,71.88,2019-07-18,Birmingham Academy
3,Valaria Bunton,47.0,81.25,2019-07-18,Birmingham Academy
4,Bary Fendlen,52.0,56.25,2019-07-18,Birmingham Academy
5,Fremont Oxlee,51.0,71.88,2019-07-18,Birmingham Academy
6,Hilliard Reinard,67.0,81.25,2019-07-18,Birmingham Academy
7,Ira Rathbourne,54.0,65.62,2019-07-18,Birmingham Academy
8,Shoshanna Janicek,52.0,68.75,2019-07-18,Birmingham Academy
9,Tonye Ambrogio,61.0,71.88,2019-07-18,Birmingham Academy
10,Kylie Cordell,60.0,84.38,2019-07-18,Birmingham Academy
11,Aldrich Whitehall,59.0,40.62,2019-07-18,Birmingham Academy
12,Blair Woollhead,52.0,75.0,2019-07-18,Birmingham Academy
13,Demetria O' Sullivan,60.0,68.75,2019-07-18,Birmingham Academy
14,Karlis Bottle,62.0,59.38,2019-07-18,Birmingham Academy
15,Kalie Leadbeatter,44.0,59.38,2019-07-18,Birmingham Academy
16,Doretta Henner,51.0,53.12,2019-07-18,Birmingham Academy
17,Dannel Longmaid,59.0,53.12,2019-07-18,Birmingham Academy
18,Teena Priel,55.0,68.75,2019-07-18,Birmingham Academy
19,Katinka Tyt,50.0,62.5,2019-07-18,Birmingham Academy
20,Maxy Bensen,63.0,78.12,2019-07-18,Birmingham Academy
21,Merwyn Gossop,56.0,50.0,2019-07-18,Birmingham Academy
22,Celina Polley,63.0,68.75,2019-07-18,Birmingham Academy
23,Ody Paroni,70.0,46.88,2019-07-18,Birmingham Academy
24,Babita Tabourin,53.0,71.88,2019-07-18,Birmingham Academy
25,Anastasia Jansson,47.0,50.0,2019-07-18,Birmingham Academy
26,Kathy Capstack,53.0,65.62,2019-07-18,Birmingham Academy
27,Rancell Lill,63.0,59.38,2019-07-18,Birmingham Academy
28,Sandor Swatradge,71.0,71.88,2019-07-18,Birmingham Academy
29,Jarred Tredger,45.0,62.5,2019-07-18,Birmingham Academy
30,Briggs Logsdail,51.0,68.75,2019-07-18,Birmingham Academy
31,Lonnard O'Neill,50.0,46.88,2019-07-18,Birmingham Academy
32,Bill Pendlebury,56.0,59.38,2019-07-18,Birmingham Academy
33,Abbott Dodgshon,57.0,50.0,2019-07-18,Birmingham Academy
34,Dunstan Halfhide,48.0,59.38,2019-07-18,Birmingham Academy
35,Monica Mingardi,41.0,65.62,2019-07-18,Birmingham Academy
36,Ashby Capener,52.0,62.5,2019-07-18,Birmingham Academy
37,Rachele Bracknell,58.0,71.88,2019-07-18,Birmingham Academy
0,Conn Dobson,53.0,62.5,2019-06-18,London Academy
1,Ingaborg Pitblado,67.0,62.5,2019-06-18,London Academy
2,Neall Lannin,49.0,53.12,2019-06-18,London Academy
3,Billi Narraway,53.0,65.62,2019-06-18,London Academy
4,Derrek Shillinglaw,55.0,34.38,2019-06-18,London Academy
5,Ainslee Paice,57.0,78.12,2019-06-18,London Academy
6,Rana Antoniou,47.0,65.62,2019-06-18,London Academy
7,Agnes Attack,48.0,65.62,2019-06-18,London Academy
8,Putnem Ericsson,51.0,68.75,2019-06-18,London Academy
9,Dean Bridle,55.0,43.75,2019-06-18,London Academy
10,Brod Blunden,59.0,56.25,2019-06-18,London Academy
11,Georgette Giacomo,56.0,65.62,2019-06-18,London Academy
12,Hubey Brookes,49.0,75.0,2019-06-18,London Academy
13,York Sygroves,61.0,68.75,2019-06-18,London Academy
14,Nil Iacovo,58.0,46.88,2019-06-18,London Academy
15,Helena Swire,63.0,75.0,2019-06-18,London Academy
16,Ginevra Paice,59.0,50.0,2019-06-18,London Academy
17,Chane Wetwood,51.0,62.5,2019-06-18,London Academy
18,Barbra Polleye,52.0,68.75,2019-06-18,London Academy
19,Shelbi Waddingham,54.0,65.62,2019-06-18,London Academy
20,Aindrea Normanvill,58.0,71.88,2019-06-18,London Academy
21,Hilliard Trusse,39.0,68.75,2019-06-18,London Academy
22,Lexine Rapson,61.0,65.62,2019-06-18,London Academy
23,Cati Dumphries,62.0,84.38,2019-06-18,London Academy
24,Terrell Orridge,57.0,84.38,2019-06-18,London Academy
25,Benedick De Roberto,49.0,62.5,2019-06-18,London Academy
26,Cornelia Artist,61.0,59.38,2019-06-18,London Academy
27,Muhammad Linn,62.0,59.38,2019-06-18,London Academy
28,Elicia Broggio,59.0,62.5,2019-06-18,London Academy
29,Adler Wingatt,58.0,71.88,2019-06-18,London Academy
30,Jeffrey Borrell,43.0,50.0,2019-06-18,London Academy
31,Ashbey Seakes,59.0,50.0,2019-06-18,London Academy
32,Patrice Dowe,45.0,71.88,2019-06-18,London Academy
33,Calida Behr,66.0,65.62,2019-06-18,London Academy
34,Mora Joutapavicius,56.0,59.38,2019-06-18,London Academy
35,Tadeas Bidmead,59.0,75.0,2019-06-18,London Academy
36,Mathian Crews,43.0,78.12,2019-06-18,London Academy
37,Clywd Musgrove,59.0,62.5,2019-06-18,London Academy
38,Darn Kirkby,52.0,59.38,2019-06-18,London Academy
39,Yvor Shepstone,54.0,56.25,2019-06-18,London Academy
40,Maible Antic,53.0,56.25,2019-06-18,London Academy
41,Carlo Beekman,52.0,46.88,2019-06-18,London Academy
42,Kat Sutherland,55.0,65.62,2019-06-18,London Academy
43,Leland Wither,58.0,62.5,2019-06-18,London Academy
44,Murvyn Budnk,48.0,75.0,2019-06-18,London Academy
45,Brandise Moston,69.0,78.12,2019-06-18,London Academy
46,Daniele Iskowicz,53.0,53.12,2019-06-18,London Academy
47,Wilden Claisse,64.0,78.12,2019-06-18,London Academy
48,Boycey Mcspirron,48.0,62.5,2019-06-18,London Academy
49,Nealon Cisland,60.0,43.75,2019-06-18,London Academy
50,Lavinie Marshman,51.0,59.38,2019-06-18,London Academy
51,Larry Claridge,52.0,65.62,2019-06-18,London Academy
0,Paulita Simmonds,53.0,43.75,2019-09-18,London Academy
1,Gifford Ganter,59.0,71.88,2019-09-18,London Academy
2,Demott Rohlf,42.0,43.75,2019-09-18,London Academy
3,Weylin Chong,58.0,65.62,2019-09-18,London Academy
4,Dorice Slides,60.0,65.62,2019-09-18,London Academy
5,Sumner Kop,63.0,65.62,2019-09-18,London Academy
6,Delmore Mcknish,56.0,62.5,2019-09-18,London Academy
7,Schuyler Mckimm,60.0,56.25,2019-09-18,London Academy
8,Donovan Whistan,58.0,62.5,2019-09-18,London Academy
9,Had Veazey,59.0,75.0,2019-09-18,London Academy
10,Sven Antonescu,53.0,75.0,2019-09-18,London Academy
11,Rafferty Camamile,49.0,68.75,2019-09-18,London Academy
12,Grazia Macginney,56.0,71.88,2019-09-18,London Academy
13,Aldwin Ginman,61.0,65.62,2019-09-18,London Academy
14,Augustine Corey,48.0,65.62,2019-09-18,London Academy
15,Salmon Blinder,56.0,71.88,2019-09-18,London Academy
16,Kahaleel Tatem,58.0,62.5,2019-09-18,London Academy
17,Erek O'Doran,62.0,59.38,2019-09-18,London Academy
18,Reynard Ilyenko,59.0,71.88,2019-09-18,London Academy
19,Lisle Stolli,70.0,62.5,2019-09-18,London Academy
20,Reinaldos Tolefree,42.0,68.75,2019-09-18,London Academy
21,Rance Wilsone,44.0,65.62,2019-09-18,London Academy
22,Melonie Duffet,45.0,62.5,2019-09-18,London Academy
23,Urson Sibthorp,55.0,65.62,2019-09-18,London Academy
24,King Janatka,53.0,71.88,2019-09-18,London Academy
25,Dinnie Baleine,52.0,65.62,2019-09-18,London Academy
26,Beltran Jolly,53.0,65.62,2019-09-18,London Academy
27,Gare Halpen,43.0,62.5,2019-09-18,London Academy
28,Urban Bootland,51.0,78.12,2019-09-18,London Academy
29,Elvira Valentine,49.0,56.25,2019-09-18,London Academy
30,Brandie Birkin,51.0,71.88,2019-09-18,London Academy
31,Malinde Mowsdale,47.0,68.75,2019-09-18,London Academy
32,Deana Salerno,54.0,59.38,2019-09-18,London Academy
33,Yankee Garmon,54.0,62.5,2019-09-18,London Academy
0,Alayne Farrans,60.0,59.38,2019-12-19,Birmingham Academy
1,Jaclin Heasman,66.0,28.12,2019-12-19,Birmingham Academy
2,Olly Lannen,53.0,75.0,2019-12-19,Birmingham Academy
3,Reba Cosser,65.0,71.88,2019-12-19,Birmingham Academy
4,Leif Forsyth,58.0,65.62,2019-12-19,Birmingham Academy
5,Vidovic Niblett,66.0,62.5,2019-12-19,Birmingham Academy
6,Whit Brisse,61.0,65.62,2019-12-19,Birmingham Academy
7,Miof Mela Woodland,36.0,65.62,2019-12-19,Birmingham Academy
8,Trudey Brockman,58.0,78.12,2019-12-19,Birmingham Academy
9,Gunilla Lucken,55.0,75.0,2019-12-19,Birmingham Academy
10,Yorgos O'Rourke,56.0,46.88,2019-12-19,Birmingham Academy
11,Fair Ivashintsov,57.0,68.75,2019-12-19,Birmingham Academy
12,Lethia Crow,56.0,65.62,2019-12-19,Birmingham Academy
13,Eyde Boughton,64.0,62.5,2019-12-19,Birmingham Academy
14,Thom Derwin,66.0,65.62,2019-12-19,Birmingham Academy
15,Uriel Lamplough,58.0,46.88,2019-12-19,Birmingham Academy
16,Erica Soughton,56.0,59.38,2019-12-19,Birmingham Academy
17,Prudence Harrill,56.0,50.0,2019-12-19,Birmingham Academy
